200000076725728818|1332454|意式海鲜细面|17|65.0
200000076738633710|1427952|金枪鱼色拉配牛油果|3|71.0
200000076733946446|1332461|凯撒色拉|23|55.0
200000076731979645|488122|凯撒色拉配鸡肉|5|73.0
200000076730873394|1332454|意式细面烤南瓜|10|60.0
200000076734729198|1427952|John套餐|4|58.0
200000076731003470|1332461|金枪鱼色拉|20|58.0
200000076734731246|1427952|煎三文鱼色拉|4|68.0
200000076733949518|1332461|鸡肉牛油果芒果色拉|57|65.0
200000076730874418|1332454|意式肉酱面|20|60.0
200000076734009934|1332461|沃歌斯冠军套餐配牛油果|17|71.0
200000076725762610|1332454|意式螺丝面配培根,鸡肉|26|58.0
200000076737981006|1332461|沃歌斯冠军套餐配鸡肉|7|76.0
200000076733808178|1332454|意式螺丝面配西班牙风味香肠|16|58.0
200000076734011982|1332461|素食套餐配牛油果|4|71.0
200000076725841458|1332454|意式细面配培根|1|65.0
200000076738746350|1427952|John套餐配牛油果|5|71.0
200000076734013006|1332461|素食套餐配鸡肉|3|76.0
200000076733916722|1332454|意式螺丝面配进口牛胸肉|10|65.0
200000076725913166|1332461|沃歌斯色拉配牛油果|1|71.0
200000076739027837|488122|金枪鱼色拉配牛油果|1|71.0
200000076726702062|1427952|John套餐配鸡肉|6|76.0
200000076731759598|1427952|煎三文鱼色拉配牛油果|3|81.0
200000076734014030|1332461|沃歌斯色拉配鸡肉|14|76.0
200000114415092274|1332454|意式空心面配吞拿鱼,香草酱|1|60.0
200000076725732914|1332454|烤火腿三明治|11|58.0
200000076734015054|1332461|凯撒色拉配牛油果|8|68.0
200000076734744558|1427952|煎三文鱼色拉配鸡肉|1|86.0
200000076730878514|1332454|鸡肉培根 三明治|5|58.0
200000076731984765|488122|金枪鱼色拉配鸡肉|3|76.0
200000076733906482|1332454|香茅鸡肉三明治|3|58.0
200000076737984078|1332461|凯撒色拉配鸡肉|6|73.0
200000076734754798|1427952|牛肉卷套餐|29|58.0
200000076731073102|1332461|金枪鱼色拉配牛油果|2|71.0
200000076733910578|1332454|烟熏三文鱼三明治|7|58.0
200000076733911602|1332454|烤进口牛肉 三明治|14|58.0
200000076731075150|1332461|金枪鱼色拉配鸡肉|1|76.0
200000076737922610|1332454|意式风干火腿 三明治|13|58.0
200000076734124622|1332461|John套餐|31|58.0
200000076732048253|488122|John套餐|7|58.0
200000076730649105|1332442|沃歌斯冠军套餐|41|58.0
200000076737925682|1332454|烩进口牛胸肉 拉法卷|21|58.0
200000076731774958|1427952|牛肉卷套餐配牛油果|3|71.0
200000076739093373|488122|煎三文鱼色拉|5|68.0
200000076731166286|1332461|煎三文鱼色拉|14|68.0
200000076737673745|1332442|素食套餐|20|58.0
200000114423154226|1332454|香草鸡肉 拉法卷|1|58.0
200000076739095421|488122|John套餐配牛油果|2|71.0
200000076738084430|1332461|John套餐配牛油果|13|71.0
200000114417797682|1332454|咖喱鸡肉 拉法卷|1|58.0
200000076725527057|1332442|沃歌斯色拉|2|58.0
200000076734127694|1332461|John套餐配鸡肉|1|76.0
200000076733848114|1332454|胡萝卜节瓜蛋糕|9|20.0
200000076734761966|1427952|牛肉卷套餐配鸡肉|3|76.0
200000076730671633|1332442|凯撒色拉|26|55.0
200000076737910322|1332454|焦糖海盐巧克力蛋糕（1块）|23|28.0
200000076739098493|488122|煎三文鱼色拉配牛油果|1|81.0
200000076730959410|1332454|芒果芝士蛋糕（1块）|14|30.0
200000076733900338|1332454|枸杞坚果面包|4|18.0
200000076725987918|1332461|煎三文鱼色拉配牛油果|8|81.0
200000076725838386|1332454|香蕉核桃面包|4|18.0
200000076731171406|1332461|煎三文鱼色拉配鸡肉|2|86.0
