Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SBNY,Signature Bank,152.8,8344433976,n/a,2004,Finance,Major Banks,http://www.nasdaq.com/symbol/sbny
SLGN,Silgan Holdings Inc.,31.72,3498219011,n/a,1997,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/slgn
SLAB,"Silicon Laboratories, Inc.",74.45,3153606555,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/slab
SPIL,"Siliconware Precision Industries Company, Ltd.",8.21,306685469.5,37355112,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spil
SINA,Sina Corporation,86.82,6161959815,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sina
SBGI,"Sinclair Broadcast Group, Inc.",35.15,3607954527,n/a,1995,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbgi
SLM,SLM Corporation,10.76,4641158187,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slm
LNCE,"Snyder&#39;s-Lance, Inc.",37.26,3600532278,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce
SSB,South State Corporation,87,2544235917,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb
SAVE,"Spirit Airlines, Inc.",54.21,3760526558,n/a,2011,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/save
SPLK,Splunk Inc.,58.09,8037981498,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
SFM,"Sprouts Farmers Market, Inc.",24.82,3412558514,n/a,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm
SSNC,"SS&C Technologies Holdings, Inc.",38.4,7833924864,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc
STMP,Stamps.com Inc.,146.4,2479723786,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/stmp
SPLS,"Staples, Inc.",9.15,5976465066,n/a,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls
STLD,"Steel Dynamics, Inc.",35.69,8629392556,n/a,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
SRCL,"Stericycle, Inc.",78.7,6710600178,n/a,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
SHOO,"Steven Madden, Ltd.",39.55,2351287327,n/a,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo
