Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
WBS,Webster Financial Corporation,54.26,5003032719,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wbs
WRI,Weingarten Realty Investors,31.97,4104586611,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wri
WBT,"Welbilt, Inc.",19.37,2690669887,n/a,2016,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wbt
WCG,"WellCare Health Plans, Inc.",174.95,7783982644,n/a,2004,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/wcg
WCC,"WESCO International, Inc.",60.55,2953408053,n/a,1999,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/wcc
WST,"West Pharmaceutical Services, Inc.",97.63,7181043338,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/wst
WR,"Westar Energy, Inc.",53.28,7570732143,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/wr
WAL,Western Alliance Bancorporation,49.4,5208178669,n/a,2005,Finance,Major Banks,http://www.nasdaq.com/symbol/wal
WGP,"Western Gas Equity Partners, LP",42.98,9409549939,n/a,2012,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wgp
WES,"Western Gas Partners, LP",55.47,8551836803,n/a,2008,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wes
WU,Western Union Company (The),19.45,9165893782,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wu
WAB,Westinghouse Air Brake Technologies Corporation,88.51,8493464121,n/a,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/wab
WLK,Westlake Chemical Corporation,65.97,8513234020,n/a,2004,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlk
WEX,WEX Inc.,108.49,4653273774,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wex
WGL,WGL Holdings Inc,83.49,4276274310,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/wgl
WPM,Wheaton Precious Metals Corp.,19.96,8818028580,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wpm
WTM,"White Mountains Insurance Group, Ltd.",879.92,4023691137,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wtm
WLL,Whiting Petroleum Corporation,6.73,2440960663,n/a,2003,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wll
WSM,"Williams-Sonoma, Inc.",49,4245202857,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/wsm
WWW,"Wolverine World Wide, Inc.",27.09,2625240077,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/www
INT,World Fuel Services Corporation,36.48,2519399489,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/int
WOR,"Worthington Industries, Inc.",45.62,2905107786,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/wor
WPX,"WPX Energy, Inc.",10.56,4198680848,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpx
XHR,"Xenia Hotels & Resorts, Inc.",19.97,2132708511,n/a,2015,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/xhr
XRX,Xerox Corporation,7.01,7126256847,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xrx
XPO,"XPO Logistics, Inc.",61.3,6847528699,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/xpo
XYL,Xylem Inc.,53.79,9666946017,n/a,2011,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/xyl
AUY,Yamana Gold Inc.,2.54,2408013165,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/auy
YELP,Yelp Inc.,30.72,2475502848,n/a,2012,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/yelp
YPF,YPF Sociedad Anonima,23.66,9305780682,n/a,1993,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/ypf
ZAYO,"Zayo Group Holdings, Inc.",32.44,7972196470,n/a,2014,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/zayo
ZEN,"Zendesk, Inc.",26.64,2636335399,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/zen
